Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,season
Philadelphia Flyers*,80,48,12,20,116,0.725,327,254,0.87,-0.04,,,,,19791980
New York Islanders*,80,39,28,13,91,0.569,281,247,0.41,-0.02,,,,,19791980
New York Rangers*,80,38,32,10,86,0.5379999999999999,308,284,0.29,-0.01,,,,,19791980
Atlanta Flames*,80,35,32,13,83,0.519,282,269,0.16,-0.01,,,,,19791980
Washington Capitals,80,27,40,13,67,0.419,261,293,-0.38,0.02,,,,,19791980
Chicago Black Hawks*,80,34,27,19,87,0.544,241,250,-0.11,0.01,,,,,19791980
St. Louis Blues*,80,34,34,12,80,0.5,266,278,-0.14,0.01,,,,,19791980
Vancouver Canucks*,80,27,37,16,70,0.43799999999999994,256,281,-0.3,0.02,,,,,19791980
Edmonton Oilers*,80,28,39,13,69,0.431,301,322,-0.25,0.01,,,,,19791980
Winnipeg Jets,80,20,49,11,51,0.319,214,314,-1.19,0.06,,,,,19791980
Colorado Rockies,80,19,48,13,51,0.319,234,308,-0.88,0.04,,,,,19791980
Buffalo Sabres*,80,47,17,16,110,0.688,318,201,1.39,-0.07,,,,,19791980
Boston Bruins*,80,46,21,13,105,0.6559999999999999,310,234,0.91,-0.05,,,,,19791980
Minnesota North Stars*,80,36,28,16,88,0.55,311,253,0.69,-0.04,,,,,19791980
Toronto Maple Leafs*,80,35,40,5,75,0.469,304,327,-0.27,0.01,,,,,19791980
Quebec Nordiques,80,25,44,11,61,0.381,248,313,-0.77,0.04,,,,,19791980
Montreal Canadiens*,80,47,20,13,107,0.669,328,240,1.05,-0.05,,,,,19791980
Los Angeles Kings*,80,30,36,14,74,0.46299999999999997,290,313,-0.27,0.01,,,,,19791980
Pittsburgh Penguins*,80,30,37,13,73,0.456,251,303,-0.62,0.03,,,,,19791980
Hartford Whalers*,80,27,34,19,73,0.456,303,312,-0.11,0.01,,,,,19791980
Detroit Red Wings,80,26,43,11,63,0.39399999999999996,268,306,-0.45,0.02,,,,,19791980
New York Islanders*,80,48,18,14,110,0.688,355,260,1.13,-0.06,,,,,19801981
Philadelphia Flyers*,80,41,24,15,97,0.606,313,249,0.76,-0.04,,,,,19801981
Calgary Flames*,80,39,27,14,92,0.575,329,298,0.37,-0.02,,,,,19801981
New York Rangers*,80,30,36,14,74,0.46299999999999997,312,317,-0.06,0.0,,,,,19801981
Washington Capitals,80,26,36,18,70,0.43799999999999994,286,317,-0.37,0.02,,,,,19801981
St. Louis Blues*,80,45,18,17,107,0.669,352,281,0.85,-0.04,,,,,19801981
Chicago Black Hawks*,80,31,33,16,78,0.488,304,315,-0.13,0.01,,,,,19801981
Vancouver Canucks*,80,28,32,20,76,0.475,289,301,-0.14,0.01,,,,,19801981
Edmonton Oilers*,80,29,35,16,74,0.46299999999999997,328,327,0.01,0.0,,,,,19801981
Colorado Rockies,80,22,45,13,57,0.35600000000000004,258,344,-1.02,0.05,,,,,19801981
Winnipeg Jets,80,9,57,14,32,0.2,246,400,-1.83,0.09,,,,,19801981
Buffalo Sabres*,80,39,20,21,99,0.619,327,250,0.92,-0.05,,,,,19801981
Boston Bruins*,80,37,30,13,87,0.544,316,272,0.52,-0.03,,,,,19801981
Minnesota North Stars*,80,35,28,17,87,0.544,291,263,0.33,-0.02,,,,,19801981
Quebec Nordiques*,80,30,32,18,78,0.488,314,318,-0.05,0.0,,,,,19801981
Toronto Maple Leafs*,80,28,37,15,71,0.444,322,367,-0.54,0.03,,,,,19801981
Montreal Canadiens*,80,45,22,13,103,0.644,332,232,1.19,-0.06,,,,,19801981
Los Angeles Kings*,80,43,24,13,99,0.619,337,290,0.56,-0.03,,,,,19801981
