,Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS,season
0,1,Larry Robinson,28,MTL,D,239,46.41,,,,,,14,61,75,38,5.5,5.9,0,11.4,19791980
1,2,Borje Salming,28,TOR,D,117,22.72,,,,,,19,52,71,3,5.5,3.5,0,9.0,19791980
2,3,Jim Schoenfeld,27,BUF,D,85,16.5,,,,,,9,27,36,60,1.9,7.7,0,9.7,19791980
3,4,Ray Bourque,19,BOS,D,51,9.9,,,,,,17,48,65,52,4.7,7.1,0,11.8,19791980
4,5,Mark Howe,24,HAR,D,23,4.47,,,,,,24,56,80,14,6.5,3.6,0,10.1,19791980
5,1,Randy Carlyle,24,PIT,D,120,21.16,,,,,,16,67,83,-16,5.4,3.0,0,8.5,19801981
6,2,Denis Potvin,27,NYI,D,113,19.93,,,,,,20,56,76,39,5.4,5.6,0,11.0,19801981
7,3,Larry Robinson,29,MTL,D,100,17.64,,,,,,12,38,50,47,3.2,6.1,0,9.3,19801981
8,4,Ray Bourque,20,BOS,D,53,9.35,,,,,,27,29,56,29,4.5,5.1,0,9.6,19801981
9,5,Rod Langway,23,MTL,D,38,6.7,,,,,,11,34,45,52,2.4,7.2,0,9.6,19801981
10,7,Larry Murphy,19,LAK,D,16,2.82,,,,,,16,60,76,16,4.9,4.8,0,9.7,19801981
11,8,Rob Ramage,22,CLR,D,15,2.65,,,,,,20,42,62,-47,4.3,2.7,0,7.0,19801981
12,9,Brad Park,32,BOS,D,14,2.47,,,,,,14,52,66,21,4.1,5.2,0,9.3,19801981
13,10,Borje Salming,29,TOR,D,11,1.94,,,,,,5,61,66,0,3.6,3.2,0,6.8,19801981
14,10,Mark Howe,25,HAR,LW,11,1.94,,,,,,19,46,65,9,3.5,1.1,0,4.6,19801981
15,12,Jim Schoenfeld,28,BUF,D,10,1.76,,,,,,8,25,33,27,1.4,5.6,0,7.1,19801981
16,13,Dave Langevin,26,NYI,D,9,1.59,,,,,,1,16,17,40,-0.3,5.7,0,5.4,19801981
17,14,Ron Greschner,26,NYR,D,8,1.41,,,,,,27,41,68,-2,5.3,3.1,0,8.4,19801981
18,15,Bill Hajt,29,BUF,D,5,0.88,,,,,,2,19,21,36,0.2,5.9,0,6.1,19801981
19,15,Stefan Persson,26,NYI,D,5,0.88,,,,,,9,52,61,25,3.4,5.1,0,8.5,19801981
20,15,Kevin McCarthy,23,VAN,D,5,0.88,,,,,,16,37,53,-11,3.3,3.6,0,6.9,19801981
21,18,John Van Boxmeer,28,BUF,D,4,0.71,,,,,,18,51,69,-2,4.5,4.6,0,9.1,19801981
22,18,Reed Larson,24,DET,D,4,0.71,,,,,,27,31,58,-35,4.6,2.7,0,7.2,19801981
23,20,Dave Lewis,27,LAK,D,2,0.35,,,,,,1,12,13,24,-0.4,4.6,0,4.2,19801981
24,21,Risto Siltanen,22,EDM,D,1,0.18,,,,,,17,36,53,4,3.3,3.7,0,7.0,19801981
25,21,Curt Giles,22,MNS,D,1,0.18,,,,,,5,22,27,8,0.9,4.7,0,5.6,19801981
26,21,Rick Lapointe,25,STL,D,1,0.18,,,,,,8,25,33,36,1.2,5.8,0,7.0,19801981
27,1,Doug Wilson,24,CBH,D,177,56.19,29.0,8.0,8.0,,,39,46,85,1,6.9,3.4,0,10.3,19811982
28,2,Ray Bourque,21,BOS,D,80,25.4,8.0,10.0,10.0,,,17,49,66,21,4.5,4.8,0,9.2,19811982
29,3,Paul Coffey,20,EDM,D,55,17.46,4.0,7.0,14.0,,,29,60,89,35,6.3,4.8,0,11.2,19811982
30,4,Craig Hartsburg,22,MNS,D,54,17.14,7.0,5.0,4.0,,,17,60,77,11,4.8,5.0,0,9.8,19811982
31,5,Larry Robinson,30,MTL,D,50,15.87,4.0,9.0,3.0,,,12,47,59,56,3.4,6.5,0,9.9,19811982
32,6,Brian Engblom,27,MTL,D,31,9.84,0.0,8.0,7.0,,,4,29,33,78,1.0,7.9,0,8.9,19811982
33,7,Barry Beck,24,NYR,D,28,8.89,3.0,3.0,4.0,,,9,29,38,20,2.0,4.2,0,6.2,19811982
34,8,Denis Potvin,28,NYI,D,27,8.57,4.0,1.0,4.0,,,24,37,61,39,4.5,4.7,0,9.2,19811982
35,9,Rod Langway,24,MTL,D,24,7.62,2.0,4.0,2.0,,,5,34,39,66,1.7,6.8,0,8.4,19811982
36,10,Kevin Lowe,22,EDM,D,20,6.35,1.0,4.0,3.0,,,9,31,40,45,1.7,5.3,0,7.0,19811982
37,11,John Van Boxmeer,29,BUF,D,6,1.9,0.0,2.0,0.0,,,14,54,68,23,4.2,5.2,0,9.4,19811982
38,12,Ken Morrow,25,NYI,D,5,1.59,1.0,0.0,0.0,,,1,18,19,53,-0.2,6.1,0,6.0,19811982
39,13,Randy Carlyle,25,PIT,D,4,1.27,0.0,1.0,1.0,,,11,64,75,-16,4.4,3.2,0,7.6,19811982
40,13,Borje Salming,30,TOR,D,4,1.27,0.0,1.0,1.0,,,12,44,56,3,3.4,3.3,0,6.6,19811982
41,15,Brad Park,33,BOS,D,1,0.32,0.0,0.0,1.0,,,14,42,56,12,3.4,4.9,0,8.2,19811982
42,15,Mike Ramsey,21,BUF,D,1,0.32,0.0,0.0,1.0,,,7,23,30,18,0.9,5.6,0,6.5,19811982
43,1,Rod Langway,25,WSH,D,180,62.07,24.0,16.0,12.0,,,3,29,32,-2,0.9,4.3,0,5.2,19821983
44,2,Mark Howe,27,PHI,D,155,53.45,13.0,24.0,18.0,,,20,47,67,47,4.5,6.3,0,10.8,19821983
45,3,Ray Bourque,22,BOS,D,139,47.93,19.0,11.0,11.0,,,22,51,73,49,5.5,6.1,0,11.6,19821983
46,4,Doug Wilson,25,CBH,D,29,10.0,2.0,4.0,7.0,,,18,51,69,20,4.7,4.7,0,9.4,19821983
47,5,Paul Coffey,21,EDM,D,24,8.28,0.0,6.0,6.0,,,29,67,96,52,7.4,4.6,0,12.0,19821983
48,6,Charlie Huddy,23,EDM,D,12,4.14,0.0,3.0,3.0,,,20,37,57,61,4.0,5.0,0,9.0,19821983
49,7,Paul Reinhart,23,CGY,D,9,3.1,0.0,2.0,3.0,,,17,58,75,2,5.2,3.8,0,9.0,19821983
50,8,Gordie Roberts,25,MNS,D,6,2.07,0.0,0.0,6.0,,,3,41,44,20,1.7,5.3,0,7.0,19821983
51,8,Mike O'Connell,27,BOS,D,6,2.07,0.0,0.0,6.0,,,14,39,53,43,3.2,6.6,0,9.8,19821983
52,10,Mike Milbury,30,BOS,D,5,1.72,0.0,1.0,4.0,,,9,15,24,23,0.8,5.4,0,6.2,19821983
53,11,Borje Salming,31,TOR,D,1,0.34,0.0,0.0,1.0,,,7,38,45,-5,2.4,3.4,0,5.7,19821983
