Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Ray Bourque,26,BOS,D,266,98.52,52,2,0,,,23,72,95,44,7.2,6.4,0,13.6
2,Mark Howe,31,PHI,D,137,50.74,1,42,6,,,15,43,58,57,4.1,6.5,0,10.5
3,Larry Murphy,25,WSH,D,31,11.48,0,5,16,,,23,58,81,25,6.1,5.7,0,11.9
4,Larry Robinson,35,MTL,D,12,4.44,0,2,6,,,13,37,50,24,3.2,5.7,0,9
5,Paul Coffey,25,EDM,D,10,3.7,1,0,5,,,17,50,67,13,5,2.6,0,7.6
6,Al MacInnis,23,CGY,D,6,2.22,0,1,3,,,20,56,76,20,5.5,4.6,0,10.1
6,Scott Stevens,22,WSH,D,6,2.22,0,1,3,,,10,51,61,15,3.7,5,0,8.7
8,Mario Marois,29,WIN,D,5,1.85,0,1,2,,,4,40,44,0,2,4.4,0,6.4
9,Rick Green,30,MTL,D,4,1.48,0,0,4,,,1,9,10,-1,-0.7,4.5,0,3.8
10,Ulf Samuelsson,22,HAR,D,3,1.11,0,0,3,,,2,31,33,29,1.1,5.8,0,6.8
11,Rod Langway,29,WSH,D,2,0.74,0,0,2,,,2,25,27,11,0.6,4.8,0,5.4
12,Mike Ramsey,26,BUF,D,1,0.37,0,0,1,,,8,31,39,0,1.9,3.8,0,5.7
12,James Patrick,23,NYR,D,1,0.37,0,0,1,,,10,45,55,13,3.2,4.1,0,7.3
12,Doug Wilson,29,CHI,D,1,0.37,0,0,1,,,16,32,48,15,3.3,3.7,0,6.9
12,Craig Hartsburg,27,MNS,D,1,0.37,0,0,1,,,11,50,61,-2,4,3,0,7
