Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,season
0,Carolina Hurricanes,41,27,10,4,58,.707,133,102,0.65,-0.11,.634,19,19-10-12,.610,20202021
1,Tampa Bay Lightning,42,28,12,2,58,.690,143,108,0.71,-0.12,.667,24,24-12-6,.643,20202021
2,Florida Panthers,43,27,12,4,58,.674,136,117,0.34,-0.10,.640,19,19-12-12,.581,20202021
3,Nashville Predators,44,24,19,1,49,.557,119,123,-0.09,0.00,.489,16,16-19-9,.466,20202021
4,Chicago Blackhawks,43,20,18,5,45,.523,122,135,-0.28,0.03,.465,13,13-18-12,.442,20202021
5,Dallas Stars,41,15,14,12,42,.512,113,107,0.16,0.02,.427,13,13-14-14,.488,20202021
6,Columbus Blue Jackets,44,15,20,9,39,.443,112,145,-0.63,0.12,.352,11,11-20-13,.398,20202021
7,Detroit Red Wings,44,15,23,6,36,.409,99,140,-0.78,0.15,.341,13,13-23-8,.386,20202021
8,Washington Capitals,43,28,11,4,60,.698,152,127,0.46,-0.12,.651,23,23-11-9,.640,20202021
9,New York Islanders,42,27,11,4,58,.690,125,98,0.55,-0.09,.607,20,20-11-11,.607,20202021
10,Pittsburgh Penguins,42,27,13,2,56,.667,146,118,0.70,0.03,.607,20,20-13-9,.583,20202021
11,Boston Bruins,40,22,12,6,50,.625,112,106,0.16,0.01,.525,15,15-12-13,.537,20202021
12,New York Rangers,42,20,16,6,46,.548,136,112,0.53,-0.04,.488,17,17-16-9,.512,20202021
13,Philadelphia Flyers,42,19,17,6,44,.524,123,154,-0.66,0.08,.488,13,13-17-12,.452,20202021
14,New Jersey Devils,41,14,21,6,34,.415,103,135,-0.69,0.09,.390,11,11-21-9,.378,20202021
15,Buffalo Sabres,42,10,25,7,27,.321,100,147,-1.07,0.05,.238,7,7-25-10,.286,20202021
16,Toronto Maple Leafs,43,28,11,4,60,.698,143,112,0.61,-0.11,.640,22,22-11-10,.628,20202021
17,Winnipeg Jets,43,26,14,3,55,.640,139,115,0.44,-0.12,.628,20,20-14-9,.570,20202021
18,Edmonton Oilers,42,25,15,2,52,.619,134,120,0.27,-0.06,.595,23,23-15-4,.595,20202021
19,Montreal Canadiens,40,18,13,9,45,.563,123,114,0.16,-0.06,.475,16,16-13-11,.537,20202021
20,Calgary Flames,43,19,21,3,41,.477,115,127,-0.20,0.08,.442,16,16-21-6,.442,20202021
21,Vancouver Canucks,37,16,18,3,35,.473,100,120,-0.45,0.09,.405,11,11-18-8,.405,20202021
22,Ottawa Senators,44,14,26,4,32,.364,118,164,-0.86,0.19,.307,10,10-26-8,.318,20202021
23,Colorado Avalanche,43,30,9,4,64,.744,154,101,1.10,-0.13,.709,27,27-9-7,.709,20202021
24,Vegas Golden Knights,42,29,11,2,60,.714,138,96,0.90,-0.10,.714,23,23-11-8,.643,20202021
25,Minnesota Wild,41,25,13,3,53,.646,124,111,0.36,0.04,.610,20,20-13-8,.585,20202021
26,St. Louis Blues,42,19,17,6,44,.524,122,132,-0.29,-0.05,.452,13,13-17-12,.452,20202021
27,Arizona Coyotes,44,19,20,5,43,.489,118,139,-0.38,0.10,.420,15,15-20-9,.443,20202021
28,San Jose Sharks,42,18,20,4,40,.476,114,141,-0.67,-0.02,.393,12,12-20-10,.405,20202021
29,Los Angeles Kings,42,16,20,6,38,.452,114,127,-0.25,0.06,.381,14,14-20-8,.429,20202021
30,Anaheim Ducks,44,14,23,7,35,.398,101,138,-0.74,0.10,.330,9,9-23-12,.341,20202021
